Date,Hour,Minute,Generator,Output,Output DA,Curtailment,Unit Market Revenue,Unit Uplift Payment
2020-07-10,0,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,0,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,0,0,1_HYDRO,12.7,12.7,0.0,101.996875,0.0
2020-07-10,0,0,4_WIND,72.572,73.0,21.04,586.28125,0.0
2020-07-10,1,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,1,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,1,0,1_HYDRO,12.783,13.7,0.0,0.0,0.0
2020-07-10,1,0,4_WIND,75.603,75.114,42.211,0.0,0.0
2020-07-10,2,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,2,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,2,0,1_HYDRO,14.717,25.9,0.0,0.0,0.0
2020-07-10,2,0,4_WIND,69.215,59.681,33.142,0.0,0.0
2020-07-10,3,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,3,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,3,0,1_HYDRO,25.983,26.9,0.0,-12.296282,0.0
2020-07-10,3,0,4_WIND,36.664,58.111,0.0,-287.588185,0.0
2020-07-10,4,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,4,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,4,0,1_HYDRO,27.958,39.6,0.0,0.0,0.0
2020-07-10,4,0,4_WIND,53.332,45.15,20.249,0.0,0.0
2020-07-10,5,0,10_PV,0.0,0.0,3.4,0.0,0.0
2020-07-10,5,0,2_RTPV,0.0,0.1,0.0,0.0,0.0
2020-07-10,5,0,1_HYDRO,39.525,38.7,0.0,0.0,0.0
2020-07-10,5,0,4_WIND,42.434,48.581,39.59,0.0,0.0
2020-07-10,6,0,10_PV,7.081,14.1,4.019,239.230005,0.0
2020-07-10,6,0,2_RTPV,0.4,1.7,0.0,28.843334,0.0
2020-07-10,6,0,1_HYDRO,38.658,38.2,0.0,648.126679,0.0
2020-07-10,6,0,4_WIND,39.725,25.4,0.0,430.953342,0.0
2020-07-10,7,0,10_PV,15.0,17.2,0.0,298.732668,0.0
2020-07-10,7,0,2_RTPV,2.3,3.5,0.0,50.700502,0.0
2020-07-10,7,0,1_HYDRO,38.317,39.6,0.0,738.495206,0.0
2020-07-10,7,0,4_WIND,20.586,6.2,0.0,311.222023,0.0
2020-07-10,8,0,10_PV,17.8,19.3,0.0,343.655073,0.0
2020-07-10,8,0,2_RTPV,4.1,5.2,-0.0,83.260111,0.0
2020-07-10,8,0,1_HYDRO,39.525,38.7,0.0,740.48534,0.0
2020-07-10,8,0,4_WIND,15.019,0.2,0.0,202.481302,0.0
2020-07-10,9,0,10_PV,12.4,19.5,0.0,272.842454,0.0
2020-07-10,9,0,2_RTPV,5.8,6.3,-0.0,112.203232,0.0
2020-07-10,9,0,1_HYDRO,38.742,39.2,0.0,733.729673,0.0
2020-07-10,9,0,4_WIND,18.046,0.0,0.0,241.983326,0.0
2020-07-10,10,0,10_PV,7.0,19.2,0.0,182.072062,0.0
2020-07-10,10,0,2_RTPV,6.6,7.2,0.0,127.008642,0.0
2020-07-10,10,0,1_HYDRO,39.158,38.7,0.0,737.088697,0.0
2020-07-10,10,0,4_WIND,19.173,0.0,-0.0,283.285868,0.0
2020-07-10,11,0,10_PV,15.2,14.9,0.0,285.620637,0.0
2020-07-10,11,0,2_RTPV,7.5,7.4,0.0,141.127972,0.0
2020-07-10,11,0,1_HYDRO,38.617,37.7,-0.0,725.011316,0.0
2020-07-10,11,0,4_WIND,11.672,0.0,0.0,172.456718,0.0
2020-07-10,12,0,10_PV,16.8,12.8,0.0,300.658069,0.0
2020-07-10,12,0,2_RTPV,7.2,7.3,0.0,136.285491,0.0
2020-07-10,12,0,1_HYDRO,37.742,38.2,0.0,714.129813,0.0
2020-07-10,12,0,4_WIND,11.42,0.0,0.0,168.733355,0.0
2020-07-10,13,0,10_PV,12.7,6.1,0.0,212.633715,0.0
2020-07-10,13,0,2_RTPV,6.8,6.6,0.0,127.50794,0.0
2020-07-10,13,0,1_HYDRO,38.242,38.7,0.0,723.56579,0.0
2020-07-10,13,0,4_WIND,12.816,0.0,0.0,189.359604,0.0
2020-07-10,14,0,10_PV,15.3,0.5,0.0,230.668922,0.0
2020-07-10,14,0,2_RTPV,6.0,5.5,0.0,139.335073,0.0
2020-07-10,14,0,1_HYDRO,38.617,37.7,-0.0,917.988681,0.0
2020-07-10,14,0,4_WIND,13.018,0.1,0.0,193.265724,0.0
2020-07-10,15,0,10_PV,16.0,0.1,0.0,238.507056,0.0
2020-07-10,15,0,2_RTPV,4.7,4.1,0.0,155.668971,0.0
2020-07-10,15,0,1_HYDRO,37.742,38.2,0.0,1361.014878,0.0
2020-07-10,15,0,4_WIND,12.984,0.0,0.0,191.841846,0.0
2020-07-10,16,0,10_PV,11.9,9.4,0.0,179.388075,0.0
2020-07-10,16,0,2_RTPV,3.2,2.2,0.0,48.1146,0.0
